symbol,name,icon
ALC,Alcon AG,https://image-cdn.pluang.com/icons/light/global-stocks/alc.svg
ROST,"Ross Stores, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/rost.svg
SU,Suncor Energy Inc.,https://image-cdn.pluang.com/icons/light/global-stocks/su.svg
OXY,Occidental Petroleum Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/oxy.svg
KR,Kroger Co,https://image-cdn.pluang.com/icons/light/global-stocks/kr.svg
NET,Cloudflare Inc,https://image-cdn.pluang.com/icons/light/global-stocks/net.svg
MSCI,Msci Inc,https://image-cdn.pluang.com/icons/light/global-stocks/msci.svg
MPC,Marathon Petroleum Corp,https://image-cdn.pluang.com/icons/light/global-stocks/mpc.svg
NDAQ,Nasdaq Inc,https://image-cdn.pluang.com/icons/light/global-stocks/ndaq.svg
TCOM,Trip.com Group Ltd,https://image-cdn.pluang.com/icons/light/global-stocks/tcom.svg
BKR,Baker Hughes Co,https://image-cdn.pluang.com/icons/light/global-stocks/bkr.svg
CCI,Crown Castle International Corp,https://image-cdn.pluang.com/icons/light/global-stocks/cci.svg
AME,"AMETEK, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/ame.svg
VALE,Vale SA,https://image-cdn.pluang.com/icons/light/global-stocks/vale.svg
GRMN,Garmin Ltd.,https://image-cdn.pluang.com/icons/light/global-stocks/grmn.svg
DHI,D R Horton Inc,https://image-cdn.pluang.com/icons/light/global-stocks/dhi.svg
LULU,Lululemon Athletica Inc,https://image-cdn.pluang.com/icons/light/global-stocks/lulu.svg
LHX,L3Harris Technologies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/lhx.svg
OTIS,Otis Worldwide Corp,https://image-cdn.pluang.com/icons/light/global-stocks/otis.svg
CTSH,Cognizant Technology Solutions Corp,https://image-cdn.pluang.com/icons/light/global-stocks/ctsh.svg
CPNG,Coupang Inc,https://image-cdn.pluang.com/icons/light/global-stocks/cpng.svg
FANG,Diamondback Energy Inc,https://image-cdn.pluang.com/icons/light/global-stocks/fang.svg
VLO,Valero Energy Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/vlo.svg
